LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No
Phascolarctobacterium	0	7	0	0	0	1	0	0	10	0	0	1	12	0	0	8	0	0	0	0	0	59	0	0	0	0	0	0	0	0	29	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	61	1	0	0	0	0	0	0	0	6	0	0
Prevotella	13	0	2	16	0	7	0	0	0	1	0	1	0	30	0	1	0	0	1	0	0	37	0	1	0	0	0	0	0	0	0	0	0	0	1	12	0	1	0	1	0	0	0	0	1	1	2	0	0	0	0	103	128	1	1	0	1	0	0	0	0	1	0
Pseudoflavonifractor	0	0	0	0	1	7	0	0	2	0	4	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	2	1	3	0	0	0	5	7	5	0	0	0	0	0	0	0	8	0	9	0	0	0	11	1	0	4	0	0	0	1	0	0	0	2
Robinsoniella	37	104	24	0	91	0	2	44	3	99	6	69	0	0	0	0	7	20	0	4	71	0	159	0	40	77	94	0	116	0	134	1	2	93	1	0	41	94	10	33	40	0	165	54	79	257	9	10	130	25	17	9	0	36	0	2	25	38	36	4	1	1	51
Romboutsia	8	0	0	12	0	2	0	0	6	6	2	3	0	21	0	0	2	0	7	0	0	8	6	6	0	0	4	0	4	7	3	3	0	1	15	1	1	0	0	2	2	6	2	4	29	2	0	2	8	0	0	2	32	0	0	5	8	47	5	7	1	1	30
Roseburia	35	12	16	78	21	34	173	4	21	2	17	73	19	24	10	21	16	31	2	37	18	124	35	17	88	136	17	216	65	122	3	13	104	11	56	18	10	3	0	12	1	4	0	10	8	43	74	15	16	2	0	155	218	35	95	43	59	49	17	34	46	14	35
Rothia	0	0	0	0	0	0	0	1	1	1	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0
Ruminococcus	47	1	0	94	3	216	174	0	558	2	0	0	41	22	86	6	58	6	50	116	14	492	0	113	31	8	0	0	22	68	43	133	197	0	350	110	42	17	0	692	0	68	0	0	0	8	15	0	8	180	0	123	134	0	172	192	193	0	300	261	371	3	105
Ruthenibacterium	5	2	1	2	0	1	0	0	20	2	0	2	0	0	0	1	0	0	1	3	0	4	12	0	0	2	0	0	2	1	7	4	0	3	0	39	4	3	1	10	0	1	0	0	0	6	8	1	0	1	1	5	0	0	4	1	1	0	0	0	3	0	5
Schaalia	8	3	2	3	7	10	1	9	6	3	2	13	0	7	0	1	1	20	4	5	1	4	1	7	1	3	1	3	4	6	2	5	3	0	6	0	12	2	8	4	0	4	7	0	7	1	1	4	5	2	5	2	1	3	1	3	2	5	8	3	3	4	0
Solobacterium	1	0	0	2	1	0	0	0	0	1	0	2	1	0	0	1	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Streptococcus	369	505	192	126	156	178	48	106	163	286	280	22	78	8	71	470	48	118	703	70	151	52	218	30	42	30	524	177	307	231	115	26	258	86	406	5	92	49	859	48	503	100	205	812	543	163	136	17	825	62	951	9	108	67	36	10	65	139	232	18	77	84	13
Terrisporobacter	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	1	1	0	0	0	0	0	1	4	0	0	3	0	0	1	1	3	5	0	0	0	0	0	0	18	0	2	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
Turicibacter	0	0	0	3	1	0	0	3	2	2	0	0	3	3	0	2	0	0	0	0	0	0	0	3	0	13	0	0	3	0	2	1	17	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	10	0
Veillonella	0	12	42	0	45	0	12	70	0	29	24	33	1	0	56	0	0	17	13	2	0	2	90	92	76	93	7	0	58	1	19	0	53	0	2	0	58	5	314	0	25	32	135	0	7	25	4	122	3	58	337	0	0	99	49	10	0	183	1	12	0	3	0
