LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
Gordonibacter	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Granulicatella	0	2	1	1	1	0	2	1	1	2	0	0	0	1	2	1	0	0	0	1	1	1	3	0	1	1	0	6	0	2	1	4	0	0	0	3	3	0	1	2	0	1	1	3	3	1	2	0	1	2	0	1	0	3	3	0	1	1	2	1	0	0	1	7	3
Haemophilus	0	3	0	2	1	5	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	5	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	5	0
Hungatella	1	0	2	21	6	0	5	0	3	0	0	0	0	0	1	3	0	2	1	1	0	59	0	0	1	0	7	0	0	0	3	1	3	0	3	0	2	12	4	2	0	0	4	1	3	3	0	3	0	1	1	2	27	4	0	1	21	1	10	1	0	1	6	0	1
Ihubacter	0	0	0	5	0	7	1	0	22	0	0	0	0	4	0	3	0	0	0	9	0	0	12	2	0	0	0	0	0	0	0	2	0	0	0	3	1	25	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	4	11	7	6	0	3	0	6	0	0	0
Intestinibacter	2	0	12	24	9	12	6	40	16	2	3	7	15	10	1	21	17	10	7	12	16	43	9	17	72	20	4	5	13	0	30	13	4	1	3	14	32	4	11	6	1	4	3	35	5	21	8	26	18	1	2	63	36	11	25	7	9	8	81	7	3	48	6	0	23
Klebsiella	1	0	0	0	0	0	0	6	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	21	0	0	2	0	1	0	0	0	0	3	0	4	0	0	0	0	0	0
Lachnoclostridium	40	27	85	29	39	99	38	15	66	20	34	36	104	18	122	166	7	75	7	52	48	94	26	75	16	33	32	10	26	46	47	30	43	24	31	34	24	24	107	48	57	141	67	6	47	82	0	75	19	54	33	58	89	177	77	77	97	106	135	48	133	31	151	47	46
Lactobacillus	13	0	3	9	9	176	1	2	0	15	0	10	15	12	1	2	28	0	4	2	0	0	1	4	0	35	0	0	3	1	1	14	0	1	8	2	0	5	0	0	5	1	2	0	0	1	11	0	0	1	19	0	0	6	0	4	0	9	43	1	0	62	0	2	2
Lactococcus	0	0	0	0	0	0	0	0	1	0	6	2	0	0	26	5	0	0	0	18	0	0	1	0	0	0	13	0	0	0	6	1	0	2	0	0	6	1	0	0	0	0	0	15	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	2	0	0	1	3	0
Lactonifactor	3	0	0	0	0	0	1	0	0	0	0	0	0	3	0	4	0	4	0	0	23	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	0	1	1	0	2	0	1	0	7	0	0	0	0	7	0	0	0	0	6	0	0	0	0	3	0	4	4	0	0
